"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1981","1981","IDX","Index","0","Units","2015_100","2015=100",27.21299,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1982","1982","IDX","Index","0","Units","2015_100","2015=100",31.65389,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1983","1983","IDX","Index","0","Units","2015_100","2015=100",36.28356,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1984","1984","IDX","Index","0","Units","2015_100","2015=100",39.32682,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1985","1985","IDX","Index","0","Units","2015_100","2015=100",42.43393,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1986","1986","IDX","Index","0","Units","2015_100","2015=100",44.65919,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1987","1987","IDX","Index","0","Units","2015_100","2015=100",46.83025,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1988","1988","IDX","Index","0","Units","2015_100","2015=100",49.19727,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1989","1989","IDX","Index","0","Units","2015_100","2015=100",51.99123,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",56.90996,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",61.40863,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",64.32299,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",65.60414,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",65.65067,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",66.50141,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",70.30023,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",72.2598,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",70.81828,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",71.92109,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",72.23977,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",74.50525,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",77.38805,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",80.74245,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",82.80568,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",84.72455,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",86.80801,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",88.53169,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",92.2459,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",96.13742,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",96.08736,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.67149,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",98.1488,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.96677,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.17515,,
"ITA","Italy","ULQEUL01","Unit Labour Costs ","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
