,LOCATION,TIME,Value
0,AUS,2000,6.28261913416262
1,AUS,2001,6.7423145436141105
2,AUS,2002,6.36761733935463
3,AUS,2003,5.92869790539199
4,AUS,2004,5.39472577382596
5,AUS,2005,5.03248019704151
6,AUS,2006,4.78229229087003
7,AUS,2007,4.37695416378443
8,AUS,2008,4.23415838568051
9,AUS,2009,5.56066622330351
10,AUS,2010,5.21132624373221
11,AUS,2011,5.08109169075672
12,AUS,2012,5.223575589489251
13,AUS,2013,5.6619757382731795
14,AUS,2014,6.07675791972096
15,AUS,2015,6.05421050754285
16,AUS,2016,5.709901434056361
17,AUS,2017,5.591125763324371
18,AUS,2018,5.29826276653533
19,AUS,2019,5.16277205969372
20,AUS,2020,7.6469607310823795
21,AUT,2000,3.5346154595584705
22,AUT,2001,3.5907592462373197
23,AUT,2002,3.9520578514000295
24,AUT,2003,4.2850474364150095
25,AUT,2004,5.48843187660668
26,AUT,2005,5.627152363743969
27,AUT,2006,5.24249722922227
28,AUT,2007,4.85820633130858
29,AUT,2008,4.1274108568068
30,AUT,2009,5.3018322770888
31,AUT,2010,4.82035484730903
32,AUT,2011,4.56405395380601
33,AUT,2012,4.864471423996281
34,AUT,2013,5.33492464339664
35,AUT,2014,5.618473895582321
36,AUT,2015,5.72209406711288
37,AUT,2016,6.0135515085379
38,AUT,2017,5.4992402985571305
39,AUT,2018,4.84787733251084
40,AUT,2019,4.48631132215136
41,AUT,2020,6.004296899876
42,BEL,2000,6.85780440765975
43,BEL,2001,6.569951479625161
44,BEL,2002,7.525622939761549
45,BEL,2003,8.17540093902743
46,BEL,2004,8.38532133316481
47,BEL,2005,8.47499066936352
48,BEL,2006,8.2666860649524
49,BEL,2007,7.49169036569551
50,BEL,2008,6.968329162842361
51,BEL,2009,7.908421265350531
52,BEL,2010,8.30823716313388
53,BEL,2011,7.1423556820032
54,BEL,2012,7.55195808050236
55,BEL,2013,8.45005522894901
56,BEL,2014,8.54994818715593
57,BEL,2015,8.4839971490045
58,BEL,2016,7.84186281432343
59,BEL,2017,7.11703977092924
60,BEL,2018,5.95811006732837
61,BEL,2019,5.35789887491957
62,BEL,2020,8.221868610387808
63,CAN,2000,6.837353831917219
64,CAN,2001,7.22786563187672
65,CAN,2002,7.67051660594615
66,CAN,2003,7.58013835202574
67,CAN,2004,7.156303726459969
68,CAN,2005,6.75168492169157
69,CAN,2006,6.308239598571331
70,CAN,2007,6.03255115701968
71,CAN,2008,6.14727443496628
72,CAN,2009,8.346803257249
73,CAN,2010,8.02241595259897
74,CAN,2011,7.507091851050321
75,CAN,2012,7.312040587074421
76,CAN,2013,7.0920054719562104
77,CAN,2014,6.91654760171661
78,CAN,2015,6.90422835310974
79,CAN,2016,6.99585161475865
80,CAN,2017,6.328976067171411
81,CAN,2018,5.83763816534256
82,CAN,2019,5.66713626298718
83,CAN,2020,9.377630428940789
84,CZE,2000,8.81534739556204
85,CZE,2001,8.15826234622355
86,CZE,2002,7.30553056283282
87,CZE,2003,7.80483471869225
88,CZE,2004,8.3138198437323
89,CZE,2005,7.9187400367685195
90,CZE,2006,7.136483204606741
91,CZE,2007,5.30627997693763
92,CZE,2008,4.3767027460015395
93,CZE,2009,6.7028162070274995
94,CZE,2010,7.283982042791769
95,CZE,2011,6.7070123039246905
96,CZE,2012,6.97517384283575
97,CZE,2013,6.94925634172022
98,CZE,2014,6.110432705422441
99,CZE,2015,5.021589593069691
100,CZE,2016,3.94715049813936
101,CZE,2017,2.8903111355530298
102,CZE,2018,2.2424086773783
103,CZE,2019,2.00143642636931
104,CZE,2020,3.78220036350856
105,DNK,2000,4.57585959707486
106,DNK,2001,4.8111662990567
107,DNK,2002,4.88157121893721
108,DNK,2003,5.760476694913041
109,DNK,2004,5.84603852063649
110,DNK,2005,5.10931300964297
111,DNK,2006,4.13381604269295
112,DNK,2007,4.02562577403524
113,DNK,2008,3.7096267527200895
114,DNK,2009,6.39724849527084
115,DNK,2010,7.750930977743139
116,DNK,2011,7.74584837545126
117,DNK,2012,7.799111162750161
118,DNK,2013,7.37738499356198
119,DNK,2014,6.863629748217139
120,DNK,2015,6.29211541784253
121,DNK,2016,6.01356528648862
122,DNK,2017,5.81235054156703
123,DNK,2018,5.10337900053014
124,DNK,2019,5.046060772721019
125,DNK,2020,7.03643314116824
126,FIN,2000,9.78365848947257
127,FIN,2001,9.12667946257208
128,FIN,2002,9.09178003448936
129,FIN,2003,9.029714395614961
130,FIN,2004,8.82012724117978
131,FIN,2005,8.39454354669474
132,FIN,2006,7.722809667673709
133,FIN,2007,6.851107580147589
134,FIN,2008,6.36388863194903
135,FIN,2009,8.24309185959671
136,FIN,2010,8.39416058394169
