,LOCATION,TIME,Value
0,OECD,1962,5.696916024
1,OECD,1963,5.1754545080000005
2,OECD,1964,6.361377148
3,OECD,1965,5.364164429
4,OECD,1966,5.733038186
5,OECD,1967,3.9425691819999997
6,OECD,1968,5.904554388999999
7,OECD,1969,5.561258815
8,OECD,1970,3.917580187
9,OECD,1971,3.696635183
10,OECD,1972,5.468583572999999
11,OECD,1973,6.1069649660000005
12,OECD,1974,1.06303142
13,OECD,1975,0.456326551
14,OECD,1976,4.911747900000001
15,OECD,1977,3.67945031
16,OECD,1978,4.425892082
17,OECD,1979,3.8980080089999998
18,OECD,1980,1.279125699
19,OECD,1981,2.261218323
20,OECD,1982,0.198218055
21,OECD,1983,2.8322319210000004
22,OECD,1984,4.782641589
23,OECD,1985,3.853516107
24,OECD,1986,2.896710694
25,OECD,1987,3.6079286560000003
26,OECD,1988,4.597936205
27,OECD,1989,3.866419881
28,OECD,1990,3.2159584430000003
29,OECD,1991,1.4622441019999999
30,OECD,1992,2.2675256480000003
31,OECD,1993,1.502183003
32,OECD,1994,3.038163921
33,OECD,1995,2.554383091
34,OECD,1996,3.1909704260000002
35,OECD,1997,3.627221824
36,OECD,1998,2.929779194
37,OECD,1999,3.3011337339999995
38,OECD,2000,4.1238153969999995
39,OECD,2001,1.407003807
40,OECD,2002,1.6795035440000001
41,OECD,2003,2.112154233
42,OECD,2004,3.343878882
43,OECD,2005,2.909444012
44,OECD,2006,3.202614872
45,OECD,2007,2.692160355
46,OECD,2008,0.35823238399999996
47,OECD,2009,-3.3588823010000004
48,OECD,2010,3.051013922
49,OECD,2011,2.093828906
50,OECD,2012,1.38360908
51,OECD,2013,1.607091963
52,OECD,2014,2.194105845
53,OECD,2015,2.614321559
54,OECD,2016,1.862493832
55,OECD,2017,2.681581643
56,OECD,2018,2.329798914
57,OECD,2019,1.6286697630000002
58,EST,1996,4.935971722
59,EST,1997,13.046534795
60,EST,1998,4.330296218
61,EST,1999,-0.403435569
62,EST,2000,10.106520489
63,EST,2001,5.979603215
64,EST,2002,6.802390752000001
65,EST,2003,7.56669175
66,EST,2004,6.767457153
67,EST,2005,9.490296172
68,EST,2006,9.718759352000001
69,EST,2007,7.573581247000001
70,EST,2008,-5.088942477
71,EST,2009,-14.433868889000001
72,EST,2010,2.690332536
73,EST,2011,7.443935411
74,EST,2012,3.124842648
75,EST,2013,1.346187836
76,EST,2014,2.9873263239999996
77,EST,2015,1.844885171
78,EST,2016,3.187819474
79,EST,2017,5.499151757999999
80,EST,2018,4.355465207
81,EST,2019,4.996442493
320,ESP,1961,11.838686895
321,ESP,1962,9.953426731
322,ESP,1963,9.596490037999999
323,ESP,1964,5.30852285
324,ESP,1965,6.253125451
325,ESP,1966,7.245787353
326,ESP,1967,4.34063628
327,ESP,1968,6.596745997
328,ESP,1969,8.9071843
329,ESP,1970,4.176673617
330,ESP,1971,4.646593668
331,ESP,1972,8.149117862
332,ESP,1973,7.795262362000001
333,ESP,1974,5.616675392
334,ESP,1975,0.541824951
335,ESP,1976,3.304180277
336,ESP,1977,2.839302888
337,ESP,1978,1.463347243
338,ESP,1979,0.043291706
339,ESP,1980,1.298189166
340,ESP,1981,-0.13213904199999998
341,ESP,1982,1.244803718
342,ESP,1983,1.77110255
343,ESP,1984,1.7840429580000001
344,ESP,1985,2.320815471
345,ESP,1986,3.253658372
346,ESP,1987,5.547452627999999
347,ESP,1988,5.093494242
348,ESP,1989,4.827617603999999
349,ESP,1990,3.783711977
350,ESP,1991,2.5437413230000003
351,ESP,1992,0.930900222
352,ESP,1993,-1.032668671
353,ESP,1994,2.382954999
354,ESP,1995,2.757265784
355,ESP,1996,2.660384815
356,ESP,1997,3.702721341
357,ESP,1998,4.393037351
358,ESP,1999,4.490616959
359,ESP,2000,5.245868129
360,ESP,2001,3.932948843
361,ESP,2002,2.730912305
362,ESP,2003,2.9820050310000004
363,ESP,2004,3.122795242
364,ESP,2005,3.652032674
365,ESP,2006,4.102727115
366,ESP,2007,3.60478135
367,ESP,2008,0.886964124
368,ESP,2009,-3.763145952
369,ESP,2010,0.163010231
370,ESP,2011,-0.814373455
371,ESP,2012,-2.9593478610000004
372,ESP,2013,-1.4354891669999998
373,ESP,2014,1.383907943
374,ESP,2015,3.83517266
375,ESP,2016,3.03130133
376,ESP,2017,2.973641191
377,ESP,2018,2.430047145
378,ESP,2019,1.9502122880000001
379,DNK,1961,6.378839877000001
380,DNK,1962,5.666801547
381,DNK,1963,0.6371556079999999
382,DNK,1964,9.269861546
383,DNK,1965,4.555223579
384,DNK,1966,2.7411276780000002
385,DNK,1967,3.42131134
386,DNK,1968,3.97476327
387,DNK,1969,6.322970205
388,DNK,1970,2.0259354469999997
389,DNK,1971,2.6652825769999997
390,DNK,1972,5.276212688999999
391,DNK,1973,3.6322326680000003
392,DNK,1974,-0.9325041620000001
393,DNK,1975,-0.66025359
394,DNK,1976,6.473284429
395,DNK,1977,1.62190754
396,DNK,1978,1.476048175
397,DNK,1979,3.544972118
398,DNK,1980,-0.44254103100000003
399,DNK,1981,-0.889708837
400,DNK,1982,3.019705754
401,DNK,1983,2.518355894
402,DNK,1984,4.389793392
403,DNK,1985,4.288584821000001
404,DNK,1986,3.643158635
405,DNK,1987,0.29402266899999996
406,DNK,1988,1.164498537
407,DNK,1989,0.150253422
408,DNK,1990,0.965095617
409,DNK,1991,1.3003368770000001
410,DNK,1992,1.9754605
411,DNK,1993,-0.089691199
412,DNK,1994,5.5254016870000005
413,DNK,1995,3.065177934
414,DNK,1996,2.9001106360000004
415,DNK,1997,3.260886077
416,DNK,1998,2.218148436
417,DNK,1999,2.948026015
418,DNK,2000,3.746862171
419,DNK,2001,0.823155361
420,DNK,2002,0.46634495600000003
421,DNK,2003,0.39005623
422,DNK,2004,2.668217538
423,DNK,2005,2.336641647
424,DNK,2006,3.913003347
425,DNK,2007,0.909247626
426,DNK,2008,-0.512019927
427,DNK,2009,-4.906546955
428,DNK,2010,1.8709874340000001
429,DNK,2011,1.336780558
430,DNK,2012,0.22651211899999998
431,DNK,2013,0.933338205
432,DNK,2014,1.619396343
433,DNK,2015,2.342587725
434,DNK,2016,3.245949426
435,DNK,2017,2.036165636
436,DNK,2018,2.391335065
437,DNK,2019,2.345300375
858,JPN,1961,11.853142512
859,JPN,1962,8.596554244
860,JPN,1963,8.787504666
861,JPN,1964,11.185655167
862,JPN,1965,5.673023514
863,JPN,1966,10.248413441
864,JPN,1967,11.083926514000002
865,JPN,1968,11.909006737
866,JPN,1969,11.953082692999999
867,JPN,1970,10.282406472
868,JPN,1971,4.389103414
869,JPN,1972,8.413496387999999
870,JPN,1973,8.032650664
871,JPN,1974,-1.2251963959999999
872,JPN,1975,3.0914866169999997
873,JPN,1976,3.9750284380000003
874,JPN,1977,4.39033795
875,JPN,1978,5.272020094
876,JPN,1979,5.483925755
877,JPN,1980,2.817592205
878,JPN,1981,4.176879121
879,JPN,1982,3.376505892
880,JPN,1983,3.060805339
881,JPN,1984,4.463899016
882,JPN,1985,6.333356889
883,JPN,1986,2.831076641
884,JPN,1987,4.1074270639999995
885,JPN,1988,7.146693707000001
886,JPN,1989,5.3701525189999995
887,JPN,1990,5.572398299
888,JPN,1991,3.324340775
889,JPN,1992,0.819008225
890,JPN,1993,0.171062756
891,JPN,1994,0.86359985
892,JPN,1995,2.742116817
893,JPN,1996,3.1000228780000003
894,JPN,1997,1.076045234
895,JPN,1998,-1.128409829
896,JPN,1999,-0.251954272
897,JPN,2000,2.779632825
898,JPN,2001,0.406357562
899,JPN,2002,0.11797118
900,JPN,2003,1.5282201480000002
901,JPN,2004,2.2047091030000003
902,JPN,2005,1.6626285330000001
903,JPN,2006,1.4199864219999998
904,JPN,2007,1.654204685
905,JPN,2008,-1.093521007
906,JPN,2009,-5.4164127970000004
907,JPN,2010,4.191739258999999
908,JPN,2011,-0.115441664
909,JPN,2012,1.495110238
910,JPN,2013,2.000267841
911,JPN,2014,0.374739131
912,JPN,2015,1.222920802
913,JPN,2016,0.52192501
914,JPN,2017,2.168290737
915,JPN,2018,0.27606077
916,JPN,2019,0.671252258
917,NOR,1961,6.273579129
918,NOR,1962,2.8138011019999998
919,NOR,1963,3.785084439
920,NOR,1964,5.009539973
921,NOR,1965,5.285439633999999
922,NOR,1966,3.7862706680000002
923,NOR,1967,6.256576625
924,NOR,1968,2.258704378
925,NOR,1969,4.504876919
926,NOR,1970,1.9985155419999998
927,NOR,1971,4.579403988
928,NOR,1972,5.166584216
929,NOR,1973,4.110512626
930,NOR,1974,5.19432072
931,NOR,1975,4.1678851539999995
932,NOR,1976,6.810829523
933,NOR,1977,3.580593197
934,NOR,1978,4.870465069
935,NOR,1979,4.37238367
936,NOR,1980,4.564764707
937,NOR,1981,1.5982583019999999
938,NOR,1982,0.23533026699999998
939,NOR,1983,3.97277101
940,NOR,1984,6.052423267999999
941,NOR,1985,5.553315678
942,NOR,1986,4.042350815
943,NOR,1987,1.753265139
944,NOR,1988,-0.255271835
945,NOR,1989,1.038299522
946,NOR,1990,1.932414061
947,NOR,1991,3.084702342
948,NOR,1992,3.5744964660000003
949,NOR,1993,2.8452640739999997
950,NOR,1994,5.0554119769999994
951,NOR,1995,4.155462968999999
952,NOR,1996,5.028001271
953,NOR,1997,5.2845846419999996
954,NOR,1998,2.624433725
955,NOR,1999,2.012848254
956,NOR,2000,3.205003899
957,NOR,2001,2.07476643
958,NOR,2002,1.4462919969999999
959,NOR,2003,0.910078542
960,NOR,2004,3.9694099260000004
961,NOR,2005,2.6254249709999997
962,NOR,2006,2.399845386
963,NOR,2007,2.994239477
964,NOR,2008,0.476383619
965,NOR,2009,-1.7270099980000002
966,NOR,2010,0.7018558690000001
967,NOR,2011,0.9814051709999999
968,NOR,2012,2.7031337239999997
969,NOR,2013,1.0340492829999999
970,NOR,2014,1.969499306
971,NOR,2015,1.967139881
972,NOR,2016,1.071580444
