"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","BLN_USD","A","1958",1.656566,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1959",2.000829,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1960",2.040077,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1961",2.356668,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1962",2.352495,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1963",2.810111,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1964",3.036761,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1965",3.006688,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1966",3.15493,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1967",3.46031,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1968",3.495511,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1969",4.189466,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1970",4.743452,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1971",5.229297,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1972",6.464808,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1973",9.585123,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1974",11.07706,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1975",12.02689,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1976",13.2123,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1977",13.41827,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1978",14.4602,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1979",18.57396,"B"
"AUS","TRADEGOOD","EXP","BLN_USD","A","1980",21.69967,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1981",21.51702,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1982",21.34962,"B"
"AUS","TRADEGOOD","EXP","BLN_USD","A","1983",20.15904,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1984",23.10414,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1985",22.73799,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1986",22.63176,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1987",26.55604,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1988",33.16819,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1989",37.1441,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1990",39.70542,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1991",41.81427,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1992",42.70458,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1993",42.5781,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1994",47.3869,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1995",53.11975,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1996",60.19771,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1997",62.87134,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1998",55.89165,
"AUS","TRADEGOOD","EXP","BLN_USD","A","1999",55.99321,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2000",63.7705,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2001",63.28542,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2002",64.97015,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2003",70.35672,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2004",86.35217,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2005",105.7423,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2006",123.3866,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2007",141.186,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2008",185.4182,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2009",154.4617,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2010",211.5363,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2011",269.3572,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2012",256.8099,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2013",252.7631,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2014",240.5022,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2015",188.1291,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2016",191.9768,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2017",231.2653,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2018",257.2202,
"AUS","TRADEGOOD","EXP","BLN_USD","A","2019",270.9485,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1957",0.9805641,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1958",0.9209689,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1959",0.9672161,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1960",1.117952,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1961",1.203591,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1962",1.271435,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1963",1.331165,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1964",1.448584,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1965",1.608032,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1966",1.696427,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1967",1.822159,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1968",1.991164,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1969",2.419834,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1970",2.866563,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1971",3.170477,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1972",3.876055,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1973",5.26043,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1974",7.148121,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1975",7.520152,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1976",8.448711,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1977",9.807289,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1978",12.16396,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1979",15.48181,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1980",17.46189,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1981",15.83539,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1982",15.63811,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1983",15.46014,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1984",15.73196,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1985",17.23327,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1986",22.48437,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1987",27.10386,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1988",30.99234,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1989",32.5309,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1990",41.14365,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1991",41.20926,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1992",44.29071,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1993",40.17997,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1994",45.16287,"B"
"AUT","TRADEGOOD","EXP","BLN_USD","A","1995",60.74546,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1996",59.44856,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1997",59.31188,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1998",63.44699,
"AUT","TRADEGOOD","EXP","BLN_USD","A","1999",65.52296,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2000",67.71492,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2001",70.82788,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2002",78.43993,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2003",97.26001,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2004",117.1378,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2005",124.6962,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2006",137.5966,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2007",163.9154,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2008",180.0112,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2009",136.5674,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2010",151.4279,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2011",177.1151,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2012",167.0089,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2013",174.764,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2014",178.5163,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2015",152.554,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2016",151.8306,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2017",168.9935,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2018",184.9781,
"AUT","TRADEGOOD","EXP","BLN_USD","A","2019",178.2542,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1957",3.160007,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1958",3.032272,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1959",3.263049,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1960",3.752294,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1961",3.946352,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1962",4.351501,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1963",4.857303,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1964",5.583832,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1965",6.430215,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1966",6.866147,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1967",7.092546,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1968",8.148717,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1969",9.96394,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1970",11.56727,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1971",12.3582,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1972",16.06012,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1973",22.52764,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1974",28.37101,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1975",28.75357,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1976",32.74682,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1977",37.5472,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1978",45.04871,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1979",56.60085,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1980",64.26569,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1981",55.46222,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1982",52.29232,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1983",52.09975,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1984",51.90126,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1985",53.77811,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1986",68.54765,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1987",83.07885,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1988",91.96761,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1989",100.3886,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1990",118.6769,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1991",118.3702,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1992",123.1565,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1993",125.8934,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1994",143.7212,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1995",180.6332,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1996",179.6133,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1997",172.1707,
"BEL","TRADEGOOD","EXP","BLN_USD","A","1998",180.3128,"B"
"BEL","TRADEGOOD","EXP","BLN_USD","A","1999",178.4529,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2000",188.3935,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2001",190.6411,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2002",216.2934,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2003",255.061,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2004",305.1123,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2005",334.4692,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2006",368.4019,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2007",431.738,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2008",470.2951,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2009",370.6844,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2010",407.4028,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2011",476.3409,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2012",446.7942,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2013",469.1957,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2014",471.3279,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2015",396.5048,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2016",397.6984,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2017",431.7542,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2018",469.1157,
"BEL","TRADEGOOD","EXP","BLN_USD","A","2019",447.5264,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1957",5.09996,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1958",5.040775,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1959",5.348641,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1960",5.572963,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1961",5.837991,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1962",5.925954,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1963",6.459144,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1964",7.673956,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1965",8.120549,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1966",9.627809,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1967",10.62114,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1968",12.65149,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1969",13.80693,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1970",16.12233,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1971",17.66509,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1972",20.30207,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1973",25.37258,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1974",33.19165,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1975",32.77752,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1976",38.95618,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1977",42.01272,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1978",46.68148,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1979",56.08958,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1980",64.93177,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1981",69.83134,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1982",68.54049,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1983",73.61299,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1984",86.56756,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1985",87.36537,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1986",86.85288,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1987",94.36257,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1988",112.5521,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1989",117.1497,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1990",127.6735,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1991",127.3998,
"CAN","TRADEGOOD","EXP","BLN_USD","A","1992",134.6518,
